location,total_cases,total_deaths,total_recovered,active_cases,date
UAE,692964,1975,669953,21036,08-08-2021
Austria,663082,10750,646143,6189,08-08-2021
Kazakhstan,634214,6764,520102,107348,08-08-2021
Tunisia,610660,20931,542210,47519,08-08-2021
Lebanon,570098,7938,538828,23332,08-08-2021
Saudi Arabia,533516,8334,514982,10200,08-08-2021
Greece,514192,13048,469114,32030,08-08-2021
Ecuador,491185,31774,443880,15531,08-08-2021
Bolivia,477262,17959,413821,45482,08-08-2021
Cuba,458219,3438,407434,47347,08-08-2021
Paraguay,454865,15268,426836,12761,08-08-2021
Belarus,453932,3532,448220,2180,08-08-2021
Georgia,447913,6084,400616,41213,08-08-2021
Panama,441316,6894,423519,10903,08-08-2021
Bulgaria,427873,18252,398874,10747,08-08-2021
Costa Rica,416677,5124,337423,74130,08-08-2021
Kuwait,402794,2366,391599,8829,08-08-2021
Slovakia,393040,12541,379807,692,08-08-2021
Guatemala,389510,10714,339087,39709,08-08-2021
Uruguay,382360,5986,374755,1619,08-08-2021
Croatia,365045,8272,355542,1231,08-08-2021
Azerbaijan,351825,5063,335025,11737,08-08-2021
Dominican Republic,344495,3974,326857,13664,08-08-2021
Sri Lanka,329994,5111,293357,31526,08-08-2021
Myanmar,329516,11776,243731,74009,08-08-2021
Denmark,323786,2552,309182,12052,08-08-2021
Palestine,317999,3613,312486,1900,08-08-2021
Ireland,312465,5044,271691,35730,08-08-2021
Venezuela,312115,3694,297536,10885,08-08-2021
Honduras,305936,8120,103110,194706,08-08-2021
Oman,298706,3936,285057,9713,08-08-2021
Lithuania,286103,4427,270739,10937,08-08-2021
Egypt,284641,16566,232825,35250,08-08-2021
Ethiopia,283667,4421,264312,14934,08-08-2021
Bahrain,269949,1384,267526,1039,08-08-2021
Libya,267846,3719,199135,64992,08-08-2021
Moldova,260555,6279,252815,1461,08-08-2021
Slovenia,260109,4433,254222,1454,08-08-2021
Armenia,232157,4650,221216,6291,08-08-2021
Qatar,227689,601,224838,2250,08-08-2021
Kenya,211828,4149,197307,10372,08-08-2021
S. Korea,210956,2121,185003,23832,08-08-2021
Bosnia and Herzegovina,206106,9691,190665,5750,08-08-2021
Vietnam,205656,3250,66637,135769,08-08-2021
Zambia,199662,3474,191836,4352,08-08-2021
Algeria,180356,4520,120644,55192,08-08-2021
Nigeria,177615,2185,165472,9958,08-08-2021
Mongolia,173532,852,164947,7733,08-08-2021
Kyrgyzstan,169017,2399,156925,9693,08-08-2021
