location,total_cases,total_deaths,total_recovered,active_cases,date
Guinea-Bissau,6444,149,6279,16,08-12-2021
Sierra Leone,6405,121,0,0,08-12-2021
San Marino,6217,94,5772,351,08-12-2021
Dominica,6142,42,5674,426,08-12-2021
Grenada,5910,200,5643,67,08-12-2021
Liberia,5829,287,5523,19,08-12-2021
Bermuda,5760,106,5623,31,08-12-2021
Chad,5701,181,4874,646,08-12-2021
St. Vincent Grenadines,5645,76,5096,473,08-12-2021
Liechtenstein,5050,64,4600,386,08-12-2021
Sint Maarten,4613,75,4509,29,08-12-2021
Comoros,4554,151,4324,79,08-12-2021
Antigua and Barbuda,4148,117,4019,12,08-12-2021
Faeroe Islands,4053,13,3444,596,08-12-2021
Saint Martin,3973,56,1399,2518,08-12-2021
Monaco,3942,36,3743,163,08-12-2021
Sao Tome and Principe,3733,57,3675,1,08-12-2021
Turks and Caicos,3107,25,3055,27,08-12-2021
Caribbean Netherlands,3073,22,2876,175,08-12-2021
British Virgin Islands,2816,38,0,0,08-12-2021
Saint Kitts and Nevis,2791,28,2753,10,08-12-2021
Bhutan,2642,3,2625,14,08-12-2021
Greenland,1746,0,1431,315,08-12-2021
St. Barth,1603,6,0,0,08-12-2021
Anguilla,1469,4,1383,82,08-12-2021
Diamond Princess,712,13,699,0,08-12-2021
Wallis and Futuna,454,7,438,9,08-12-2021
Saint Pierre Miquelon,91,0,60,31,08-12-2021
Falkland Islands,83,0,0,0,08-12-2021
Macao,77,0,77,0,08-12-2021
Montserrat,44,1,42,1,08-12-2021
Vatican City,27,0,27,0,08-12-2021
Solomon Islands,20,0,20,0,08-12-2021
Western Sahara,10,1,8,1,08-12-2021
MS Zaandam,9,2,7,0,08-12-2021
Palau,8,0,8,0,08-12-2021
Vanuatu,6,1,5,0,08-12-2021
Marshall Islands,4,0,4,0,08-12-2021
Samoa,3,0,3,0,08-12-2021
Saint Helena,2,0,2,0,08-12-2021
Micronesia,1,0,1,0,08-12-2021
Tonga,1,0,1,0,08-12-2021
China,99371,4636,93602,1133,08-12-2021
